Month,Turnover
1982-Apr,1162.6
1982-May,1150.9
1982-Jun,1160
1982-Jul,1206.4
1982-Aug,1152.5
1982-Sep,1189.1
1982-Oct,1247.4
1982-Nov,1280.7
1982-Dec,1483.7
1983-Jan,1202.8
1983-Feb,1224.2
1983-Mar,1332.4
1983-Apr,1270.9
1983-May,1251.7
1983-Jun,1269.3
1983-Jul,1292.8
1983-Aug,1337
1983-Sep,1322.8
1983-Oct,1355.4
1983-Nov,1410.9
1983-Dec,1642.3
1984-Jan,1314.5
1984-Feb,1335.4
1984-Mar,1388.8
1984-Apr,1346.5
1984-May,1404.3
1984-Jun,1367.6
1984-Jul,1361.6
1984-Aug,1436.7
1984-Sep,1355.6
1984-Oct,1462.7
1984-Nov,1501.4
1984-Dec,1686.6
1985-Jan,1484.7
1985-Feb,1397
1985-Mar,1495
1985-Apr,1474.9
1985-May,1556.8
1985-Jun,1453.7
1985-Jul,1558.6
1985-Aug,1585.7
1985-Sep,1518
1985-Oct,1655.7
1985-Nov,1667.3
1985-Dec,1867.3
1986-Jan,1674.4
1986-Feb,1558.5
1986-Mar,1676.6
1986-Apr,1643.7
1986-May,1746.5
1986-Jun,1638.5
1986-Jul,1721.8
1986-Aug,1720.9
1986-Sep,1705.7
1986-Oct,1816.4
1986-Nov,1774.7
1986-Dec,2073.6
1987-Jan,1830.7
1987-Feb,1710.1
1987-Mar,1791
1987-Apr,1824.4
1987-May,1823.3
1987-Jun,1761.9
1987-Jul,1856.9
1987-Aug,1821
1987-Sep,1830
1987-Oct,1942.4
1987-Nov,1885.9
1987-Dec,2272.4
1988-Jan,1885.1
1988-Feb,1845.2
1988-Mar,2021.6
1988-Apr,1937.5
1988-May,1907
1988-Jun,1925.7
1988-Jul,1932.6
1988-Aug,1977.6
1988-Sep,2035.2
1988-Oct,2050.7
1988-Nov,2109.5
1988-Dec,2549.7
1989-Jan,2056.1
1989-Feb,1990.2
1989-Mar,2261.2
1989-Apr,2104.6
1989-May,2139
1989-Jun,2170.3
1989-Jul,2163.1
1989-Aug,2255.1
1989-Sep,2262.6
1989-Oct,2221.7
1989-Nov,2327.5
1989-Dec,2788.4
1990-Jan,2277.4
1990-Feb,2185.3
1990-Mar,2439.5
1990-Apr,2286
1990-May,2382.9
1990-Jun,2361.9
1990-Jul,2302.9
1990-Aug,2469
1990-Sep,2307.8
1990-Oct,2442.4
1990-Nov,2553.4
1990-Dec,2887.2
1991-Jan,2551.9
1991-Feb,2341.5
1991-Mar,2593.6
1991-Apr,2402.9
1991-May,2584.5
1991-Jun,2410
1991-Jul,2540
1991-Aug,2684
1991-Sep,2452.1
1991-Oct,2679.6
1991-Nov,2693.4
1991-Dec,2984.8
1992-Jan,2684.5
1992-Feb,2562.4
1992-Mar,2643.1
1992-Apr,2707.1
1992-May,2697.5
1992-Jun,2584.2
1992-Jul,2754.7
1992-Aug,2670.5
1992-Sep,2665.6
1992-Oct,2858.5
1992-Nov,2700.6
1992-Dec,3221.5
1993-Jan,2789.1
1993-Feb,2610.6
1993-Mar,2795.8
1993-Apr,2832.7
1993-May,2773.6
1993-Jun,2714.1
1993-Jul,2876.2
1993-Aug,2734
1993-Sep,2805.7
1993-Oct,2901.8
1993-Nov,2872.4
1993-Dec,3433.4
1994-Jan,2834.4
1994-Feb,2724.2
1994-Mar,3048.7
1994-Apr,2837.4
1994-May,2848.7
1994-Jun,2869.9
1994-Jul,2953.3
1994-Aug,2964.7
1994-Sep,3013.5
1994-Oct,3081.6
1994-Nov,3082.7
1994-Dec,3700
1995-Jan,3063
1995-Feb,2949.1
1995-Mar,3244.4
1995-Apr,3151
1995-May,3200
1995-Jun,3179.6
1995-Jul,3212
1995-Aug,3342.3
1995-Sep,3301.7
1995-Oct,3369.8
1995-Nov,3485.3
1995-Dec,3996.9
1996-Jan,3357.2
1996-Feb,3339
1996-Mar,3468.7
1996-Apr,3346.5
1996-May,3515.8
1996-Jun,3329.3
1996-Jul,3433.3
1996-Aug,3577.3
1996-Sep,3377.2
1996-Oct,3648.3
1996-Nov,3649.2
1996-Dec,4034.4
1997-Jan,3688.2
1997-Feb,3363
1997-Mar,3676.9
1997-Apr,3480.1
1997-May,3682.6
1997-Jun,3414.8
1997-Jul,3652.3
1997-Aug,3669
1997-Sep,3585.7
1997-Oct,3879.4
1997-Nov,3794
1997-Dec,4339.8
1998-Jan,3973.8
1998-Feb,3571.6
1998-Mar,3799.6
1998-Apr,3832.3
1998-May,3882.4
1998-Jun,3705.2
1998-Jul,3951.3
1998-Aug,3888.9
1998-Sep,3897.8
1998-Oct,4213.3
1998-Nov,4003.3
1998-Dec,4690.1
1999-Jan,4218.6
1999-Feb,3844.3
1999-Mar,4250.9
1999-Apr,4091.1
1999-May,4079
1999-Jun,3961.9
1999-Jul,4239.4
1999-Aug,4117.8
1999-Sep,4184
1999-Oct,4373.6
1999-Nov,4273
1999-Dec,5099.8
2000-Jan,4247.2
2000-Feb,4069.7
2000-Mar,4353.4
2000-Apr,4174.4
2000-May,4161.7
2000-Jun,4175.1
2000-Jul,4221.2
2000-Aug,4362.9
2000-Sep,4315.6
2000-Oct,4384.7
2000-Nov,4450.9
2000-Dec,5194.1
2001-Jan,4486.2
2001-Feb,4221.3
2001-Mar,4699.1
2001-Apr,4497.1
2001-May,4603
2001-Jun,4458.2
2001-Jul,4532.8
2001-Aug,4745.1
2001-Sep,4606.5
2001-Oct,4863.1
2001-Nov,4941.5
2001-Dec,5543
2002-Jan,5044.6
2002-Feb,4559.4
2002-Mar,5098.2
2002-Apr,4747.6
2002-May,5028.5
2002-Jun,4716.1
2002-Jul,4971.5
2002-Aug,5145.5
2002-Sep,4912.5
2002-Oct,5283.5
2002-Nov,5300.6
2002-Dec,5862.1
2003-Jan,5402.8
2003-Feb,4861
2003-Mar,5280.2
2003-Apr,5171.5
2003-May,5316.3
2003-Jun,4895.4
2003-Jul,5296.9
2003-Aug,5286.8
2003-Sep,5192.1
2003-Oct,5583.9
2003-Nov,5498.8
2003-Dec,6269.7
2004-Jan,5769.9
2004-Feb,5311.8
2004-Mar,5602.4
2004-Apr,5627.7
2004-May,5542.3
2004-Jun,5406.3
2004-Jul,5722.7
2004-Aug,5569.3
2004-Sep,5622.8
2004-Oct,5819.7
2004-Nov,5753.4
2004-Dec,6753.1
2005-Jan,5710.3
2005-Feb,5336.4
2005-Mar,5936.5
2005-Apr,5710.9
2005-May,5661
2005-Jun,5582.8
2005-Jul,5888.5
2005-Aug,5929.6
2005-Sep,5931.4
2005-Oct,6100.1
2005-Nov,6071.2
2005-Dec,7083.5
2006-Jan,6113.6
2006-Feb,5704.1
2006-Mar,6335.1
2006-Apr,6139.3
2006-May,6133.3
2006-Jun,6071.6
2006-Jul,6197.4
2006-Aug,6368.5
2006-Sep,6296.9
2006-Oct,6567.2
2006-Nov,6614.2
2006-Dec,7569.8
2007-Jan,6638.4
2007-Feb,6172.9
2007-Mar,6863
2007-Apr,6600
2007-May,6691.7
2007-Jun,6518
2007-Jul,6751.1
2007-Aug,7001.1
2007-Sep,6847.4
2007-Oct,7144.7
2007-Nov,7250
2007-Dec,8154.3
2008-Jan,7206.3
2008-Feb,6787.8
2008-Mar,7315.8
2008-Apr,6882.6
2008-May,7163.6
2008-Jun,6761.8
2008-Jul,7240.5
2008-Aug,7355.4
2008-Sep,7095.7
2008-Oct,7642.8
2008-Nov,7630.1
2008-Dec,8784.9
2009-Jan,7985.3
2009-Feb,7151.3
2009-Mar,7832.4
2009-Apr,7710.6
2009-May,7763.2
2009-Jun,7399.3
2009-Jul,7725.6
2009-Aug,7807.5
2009-Sep,7635.8
2009-Oct,8109.7
2009-Nov,8204
2009-Dec,9249
2010-Jan,8093.4
2010-Feb,7243.1
2010-Mar,8017.8
2010-Apr,7835.6
2010-May,7887.6
2010-Jun,7527.9
2010-Jul,8044.4
2010-Aug,7924.7
2010-Sep,7855.4
2010-Oct,8239.5
2010-Nov,8288.1
2010-Dec,9491.8
2011-Jan,8403.6
2011-Feb,7649.6
2011-Mar,8285
2011-Apr,8211.3
2011-May,8059
2011-Jun,7878.3
2011-Jul,8315.2
2011-Aug,8360.3
2011-Sep,8274.2
2011-Oct,8606.3
2011-Nov,8569.9
2011-Dec,9936
2012-Jan,8534.8
2012-Feb,8119.1
2012-Mar,8736.6
2012-Apr,8399.2
2012-May,8450.7
2012-Jun,8269.7
2012-Jul,8500.4
2012-Aug,8787.9
2012-Sep,8582.8
2012-Oct,8982
2012-Nov,9048.5
2012-Dec,10262.1
2013-Jan,9067.6
2013-Feb,8264.8
2013-Mar,9272
2013-Apr,8614.9
2013-May,8876.5
2013-Jun,8516.9
2013-Jul,8855.8
2013-Aug,9188.1
2013-Sep,8839.1
2013-Oct,9338.4
2013-Nov,9345.9
2013-Dec,10856.4
2014-Jan,9701.6
2014-Feb,8667.9
2014-Mar,9524.6
2014-Apr,9223.9
2014-May,9386
2014-Jun,8977.5
2014-Jul,9393.3
2014-Aug,9582.4
2014-Sep,9353.8
2014-Oct,9964.4
2014-Nov,9911.1
2014-Dec,11271.6
2015-Jan,9955.4
2015-Feb,9020
2015-Mar,9926.5
2015-Apr,9538
2015-May,9707.1
2015-Jun,9217.8
2015-Jul,9718
2015-Aug,9834.8
2015-Sep,9645.8
2015-Oct,10319.2
2015-Nov,10128.5
2015-Dec,11731.2
2016-Jan,10244.9
2016-Feb,9556.9
2016-Mar,10354
2016-Apr,9727.9
2016-May,9815.2
2016-Jun,9516.5
2016-Jul,9928.5
2016-Aug,10041.9
2016-Sep,10005.7
2016-Oct,10482.6
2016-Nov,10435.7
2016-Dec,12230.1
2017-Jan,10431.5
2017-Feb,9574.6
2017-Mar,10510.3
2017-Apr,10274.1
2017-May,10189.7
2017-Jun,9857.6
2017-Jul,10272.8
2017-Aug,10363.7
2017-Sep,10307.9
2017-Oct,10710.9
2017-Nov,10780.7
2017-Dec,12552.1
2018-Jan,10713.3
2018-Feb,9833.2
2018-Mar,11188.4
2018-Apr,10354.1
2018-May,10645.2
2018-Jun,10268.2
2018-Jul,10604.4
2018-Aug,10852.2
2018-Sep,10713.8
2018-Oct,11126.1
2018-Nov,11214.7
2018-Dec,13037.6
2019-Jan,11253.8
2019-Feb,10308.6
2019-Mar,11405.1
2019-Apr,10964.8
2019-May,11024.2
2019-Jun,10587.6
2019-Jul,10949.7
2019-Aug,11294.6
2019-Sep,10946.6
2019-Oct,11565.4
2019-Nov,11643.3
2019-Dec,13292.7
2020-Jan,11576
2020-Feb,11064.6
2020-Mar,14310.5
2020-Apr,11652.9
2020-May,12505.2
2020-Jun,11944.4
2020-Jul,12685.4
2020-Aug,12758.2
2020-Sep,12367.9
2020-Oct,13027.3
2020-Nov,12768
2020-Dec,14684.1
2021-Jan,12845.7
2021-Feb,11359.1
2021-Mar,12539.7
2021-Apr,11981.3
2021-May,12310.8
2021-Jun,11922.3
2021-Jul,12788.2
2021-Aug,12977.1
2021-Sep,12743.8
2021-Oct,13224
2021-Nov,12696
2021-Dec,15164.3
2022-Jan,13380.8
2022-Feb,11860.5
2022-Mar,13052.6
2022-Apr,13033.5
2022-May,12903.6
2022-Jun,12469.6
2022-Jul,13171.5
2022-Aug,13282.6
2022-Sep,13292.8
2022-Oct,13895.2
2022-Nov,13806
2022-Dec,16407.5
2023-Jan,13890.1